id,max,mean,count,sum
relation/10100606,0.2814766586303711,0.2677244127871309,280,74.96283558039664
relation/10100607,0.256945640707016,0.2319460036861269,304,70.51158512058258
relation/10100608,0.256945640707016,0.2390100302253619,202,48.28002610552311
relation/10100609,0.256945640707016,0.2556794772687396,359,91.78893233947753
relation/10100610,0.256945640707016,0.256945640707016,18,4.625021532726288
relation/10100611,0.2814766586303711,0.2570929589064916,105,26.994760685181618
relation/10100612,0.256945640707016,0.256945640707016,13,3.340293329191208
relation/10100613,0.256945640707016,0.2360812299521764,15,3.5412184492826464
relation/10100614,0.256945640707016,0.2447174146235935,63,15.41719712128639
relation/10100615,0.256945640707016,0.2399174630740794,41,9.836615986037256
relation/10100616,0.2814766586303711,0.242880366123429,270,65.57769885332584
relation/10100694,0.2703331463813782,0.2476548332398252,258,63.8949469758749
relation/10100695,0.2814766586303711,0.2563209657065944,438,112.26858297948836
relation/10100696,0.2616144158840179,0.2590757600304154,288,74.61381888875962
relation/10100697,0.2616144158840179,0.2612310201038435,206,53.81359014139176
relation/10100698,0.2616144158840179,0.2445720658561918,720,176.09188741645812
relation/10102953,0.3179675909757614,0.2534535538820762,614,155.62048208359477
relation/10102954,0.3179675909757614,0.2685049533112982,575,154.39034815399648
relation/10102955,0.2703331463813782,0.2513797213659021,540,135.74504953758716
relation/10102956,0.3179675909757614,0.2833990371594372,830,235.22120084233288
relation/10103478,0.2401319787025451,0.1932999151762512,299,57.79667463769913
relation/10103479,0.3442217274665832,0.244505782621472,561,137.1677440506458
relation/10103480,0.3442217274665832,0.298703189596858,386,115.2994311843872
relation/10103481,0.3442217274665832,0.223875277123135,362,81.04285031857489
relation/10103482,0.2201579029560089,0.1175229928026528,145,17.04083395638466
relation/10103483,0.2201579029560089,0.218337292684555,350,76.41805243959428
relation/10103484,0.2476847621917724,0.2408030473828315,384,92.46837019500732
relation/10103485,0.3442217274665832,0.2568680466825679,236,60.620859017086026
relation/10103486,0.283299170923233,0.25499355877269,446,113.72712721261976
relation/10103487,0.2637700224876403,0.2510515929235352,144,36.15142938098907
relation/10103488,0.3580830477237701,0.2499013032514657,134,33.486774635696406
relation/10103489,0.3580830477237701,0.2597904902060826,36,9.352457647418976
relation/10103490,0.3580830477237701,0.226869108550493,172,39.02148667068481
relation/10103491,0.3580830477237701,0.3086373840077409,103,31.78965055279732
relation/10103492,0.3580830477237701,0.309300448463703,29,8.969713005447387
relation/10103493,0.3580830477237701,0.3357288594375957,154,51.70224435338974
relation/10103494,0.399868462896347,0.3629682099849405,142,51.54148581786156
relation/10103495,0.2637700224876403,0.2637700224876404,19,5.011630427265168
relation/10103496,0.399868462896347,0.2790553035570757,274,76.46115317463874
relation/10103497,0.399868462896347,0.2880896897714431,146,42.06109470663071
relation/10103498,0.399868462896347,0.3908178445932587,403,157.49959137108328
relation/10103499,0.399868462896347,0.2740237223278954,617,169.0726366763115
relation/10103705,0.3072930320739746,0.220429738479186,599,132.03741334903242
relation/10103706,0.2401319787025451,0.1873267566915949,353,66.12634511213302
relation/10103707,0.2401319787025451,0.2100766364046045,185,38.86417773485184
relation/10103708,0.2401319787025451,0.2130186577438289,117,24.923182956027983
relation/10103709,0.2401319787025451,0.2401319787025451,100,24.013197870254515
relation/10103710,0.3580830477237701,0.2525478807047793,57,14.395229200172423
relation/10103711,0.3072930320739746,0.1868125988575877,196,36.61526937608719
relation/10103712,0.4281801507949829,0.3212003997144446,452,145.182580670929
relation/10103713,0.4281801507949829,0.4254937703789604,135,57.441659001159664
relation/10103714,0.4281801507949829,0.2375598910763859,192,45.61149908666611
relation/10103715,0.3072930320739746,0.2527028319463914,363,91.73112799654008
relation/10103716,0.399868462896347,0.3190095244259393,714,227.77280044012068
relation/10103717,0.3931182379007339,0.2672436476010811,410,109.56989551644324
relation/10104745,0.3200804672718048,0.2283261390759866,486,110.9665035909295
relation/10104746,0.3200804672718048,0.2987983106402463,86,25.696654715061182
relation/10104747,0.3200804672718048,0.2754130440948627,135,37.18076095280647
relation/10104748,0.3200804672718048,0.3200804672718048,80,25.606437381744385
relation/10104749,0.3200804672718048,0.3200804672718048,46,14.723701494503022
relation/10104750,0.3200804672718048,0.2534127858978731,108,27.36858087697029
relation/10104751,0.3200804672718048,0.2959371103274517,39,11.541547302770615
relation/10104752,0.3562825591564178,0.3142370576378637,313,98.35619904065132
relation/10104753,0.3200804672718048,0.2925160271760458,214,62.59842981567382
relation/10104754,0.2923866166591644,0.2180228256866849,290,63.22661944913864
relation/10104933,0.2639670287132263,0.1871148938018316,385,72.03923411370516
relation/10104934,0.2478862168312072,0.2080787187180495,406,84.4799597995281
relation/10104935,0.2249674839973449,0.1549169337933276,694,107.51235205256938
relation/10104936,0.3023718220710754,0.1614613499145529,438,70.7200712625742
relation/10104937,0.3035348048210144,0.2642449550720497,540,142.69227573890686
relation/10104938,0.3035348048210144,0.3024881203460693,260,78.64691128997802
relation/10104939,0.3562825591564178,0.3074093540047077,188,57.792958552885054
relation/10104940,0.3562825591564178,0.3245314837312236,103,33.42674282431603
