block_lgd,dtname,dtcode11,block_name,object_id,max,mean,count,sum
03339,Cuttack,381,MAHANGA,21-381-03339,0.404716036939621,0.39737220119556715,172,68.34801860563755
03340,Cuttack,381,NARASINGHPUR,21-381-03340,0.29579681272506714,0.28484582729065167,556,158.3742799736023
03341,Cuttack,381,NIALI,21-381-03341,0.5587073754310609,0.5006167305712043,174,87.10731111938954
03342,Cuttack,381,NISCHINTA KOILI,21-381-03342,0.5202367807745933,0.4097647194507826,193,79.08459085400104
03343,Cuttack,381,SALEPUR,21-381-03343,0.404716036939621,0.38737403295310047,212,82.1232949860573
03344,Cuttack,381,TANGI CHOUDWAR,21-381-03344,0.384625846529007,0.3713819445105382,317,117.7280764098406
03345,Cuttack,381,TIGIRIA,21-381-03345,0.32505645216703416,0.3250564521670341,103,33.48081457320451
03346,Deogarh,373,BARKOTE,21-373-03346,0.3380737717628479,0.20979365198777544,822,172.4503819339514
03347,Deogarh,373,REAMAL,21-373-03347,0.26108675951957705,0.1657154349815941,873,144.66957473893166
03348,Deogarh,373,TILEIBANI,21-373-03348,0.26108675951957705,0.19641801680156165,882,173.24069081897738
03349,Dhenkanal,383,BHUBAN,21-383-03349,0.38295907135009766,0.2789040995777845,200,55.780819915556904
03350,Dhenkanal,383,DHENKANAL SADAR,21-383-03350,0.39636100063323976,0.3208627095292942,406,130.27026006889344
03351,Dhenkanal,383,GONDIA,21-383-03351,0.38295907135009766,0.28120968826484355,586,164.78887732319834
03352,Dhenkanal,383,HINDOL,21-383-03352,0.39636100063323976,0.29905785583445904,665,198.87347412991528
03353,Dhenkanal,383,KAMAKHYANAGAR,21-383-03353,0.39636100063323976,0.36255437943246943,516,187.07805978715422
03354,Dhenkanal,383,KANKADA HAD,21-383-03354,0.3682685049057007,0.30411474503837577,753,228.99840301389696
03355,Dhenkanal,383,ODAPADA,21-383-03355,0.39636100063323976,0.34199944128510473,333,113.88581394793988
03356,Dhenkanal,383,PARJANG,21-383-03356,0.39636100063323976,0.28122315622819255,413,116.14516352224352
03357,Gajapati,389,GOSANI,21-389-03357,0.5854424228668214,0.520262454653491,203,105.61327829465867
03358,Gajapati,389,GUMMA,21-389-03358,0.5854424228668214,0.5758988774010113,336,193.5020228067398
03359,Gajapati,389,KASINAGAR,21-389-03359,0.5854424228668214,0.5476805088827291,194,106.25001872324945
03360,Gajapati,389,MOHANA,21-389-03360,0.5272201712608338,0.4258567389315976,1243,529.3399264919758
03361,Gajapati,389,NUAGADA,21-389-03361,0.5854424228668214,0.5172338359514169,452,233.78969385004046
03362,Gajapati,389,R.UDAYAGIRI,21-389-03362,0.5272201712608338,0.4382316077238871,586,256.80372212619784
03363,Gajapati,389,RAYAGADA,21-389-03363,0.5854424228668214,0.46768295439230195,545,254.88721014380457
03364,Ganjam,388,ASKA,21-388-03364,0.5076389182806015,0.4328959439421956,152,65.80018347921373
03365,Ganjam,388,BEGUNIAPADA,21-388-03365,0.4006022579669953,0.36166879166243027,196,70.88708316583633
03366,Ganjam,388,BELLAGUNTHA,21-388-03366,0.4006022579669953,0.37513226028983276,201,75.40158431825638
03367,Ganjam,388,BHANJANAGAR,21-388-03367,0.39154508056640625,0.3123416657818229,634,198.0246161056757
03368,Ganjam,388,BUGUDA,21-388-03368,0.4006022579669953,0.36539875670449323,381,139.2169263044119
03369,Ganjam,388,CHATRAPUR,21-388-03369,0.5058921157836914,0.1692585912389888,216,36.55985570762158
03370,Ganjam,388,CHIKITI,21-388-03370,0.5058921157836914,0.45122364860415004,263,118.67181958289146
03371,Ganjam,388,DHARAKOTE,21-388-03371,0.5076389182806015,0.4706279850025007,391,184.01554213597777
03372,Ganjam,388,DIGAPAHANDI,21-388-03372,0.5076389182806015,0.4888617323334129,405,197.98900159503222
03373,Ganjam,388,GANJAM,21-388-03373,0.3492355201721192,0.3212966785583497,250,80.32416963958742
03374,Ganjam,388,HINJILICUT,21-388-03374,0.4854185840725899,0.468933265810954,190,89.09732050408127
03375,Ganjam,388,JAGANNATHPRASAD,21-388-03375,0.4006022579669953,0.2825482453517847,710,200.60925419976712
03376,Ganjam,388,KABISURYANAGAR,21-388-03376,0.4854185840725899,0.4526970830310083,138,62.47219745827915
03377,Ganjam,388,KHALLIKOTE,21-388-03377,0.36257373580932617,0.2938499362049224,316,92.85657984075547
03378,Ganjam,388,KUKUDAKHANDI,21-388-03378,0.5058921157836914,0.4978675950510782,247,122.97329597761632
03379,Ganjam,388,PATRAPUR,21-388-03379,0.4813163345813751,0.43594264724959025,440,191.81476478981972
03380,Ganjam,388,POLOSARA,21-388-03380,0.4006022579669953,0.38097791364498956,374,142.4857397032261
