block_name,object_id,Mean_Daily_Runoff,Sum_Runoff,Peak_Runoff
SULIAPADA,21-376-03509,5.207714545454546,1718.5457999999999,87.8867
SUNDARGARH,21-374-03588,1.4470587179487178,564.3529000000001,41.8308
SURADA,21-388-03385,3.9033961111111117,4215.6678,39.7424
TALACHER,21-384-03283,1.6885456666666667,506.56370000000004,24.2246
TANGARPALI,21-374-03589,0.7760116666666668,279.36420000000004,17.4811
TANGI,21-386-03465,3.7189894444444445,1338.8362,45.7876
TANGI CHOUDWAR,21-381-03344,2.980674523809524,1251.8833,69.4454
TARBHA,21-392-03571,0.6769830555555555,243.7139,8.4854
TELKOI,21-375-03455,0.5182993333333333,466.4694,22.2514
TENTULIKHUNTI,21-397-03521,2.6149720512820513,1019.8391,47.5165
THAKURMUNDA,21-376-03510,1.6009540952380952,1681.0018,37.8442
THUAMUL RAM PUR,21-395-03421,1.862727192982456,2123.509,51.7467
TIGIRIA,21-381-03345,1.8789906666666667,281.84860000000003,30.9802
TIHIDI,21-378-03328,2.385302121212121,787.1497,30.9828
TIKABALI,21-390-03432,3.6199318518518515,977.3815999999999,33.6783
TILEIBANI,21-373-03348,0.6841892156862744,697.8729999999999,23.22
TIRING,21-376-03511,1.5435688888888888,277.8424,11.5473
TIRTOL,21-380-03393,6.769970416666666,1624.7929,51.7742
TITLAGARH,21-393-03296,1.2160624444444443,547.2281,11.6567
TUMUDIBANDH,21-390-03433,1.6479738095238095,1384.298,91.1158
TUREKELA,21-393-03297,1.1457391666666665,687.4435,9.7366
UDALA,21-376-03512,2.191122820512821,854.5379,61.7579
ULLUNDA,21-392-03572,0.6867180952380952,432.63239999999996,56.3175
UMERKOTE,21-397-03522,1.6941995238095238,1778.9095,28.0962
